陳凱琪,旁邊,嘅,謝穎心,喊,咗,出嚟,。,漸漸,，,喊,嘅,同學,越嚟越多,，,一個,傳染,一個,噉,。,陳凱琪,見到,好多,同學,嘅,眼,圈,都,紅,咗,。,佢,雖然,覺得,魯老師,真係,好,老,，,又,肥,，,又,冇,記性,，,但,佢,都,唔捨得,魯老師,走,啊,，,佢,都,開始,流眼淚,，,數,唔,清,有,幾多,滴,淚水,喇,。,校長,想,講,啲,安撫,嘅,説話,，,不過,，,大家,都,聽唔入耳,。,堂,仍然,都係,要,上,，,於是,，,大家,都,靜靜,噉,喊,住,返,上,課室,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can4-hoi2-kei4,pong4-bin1,ge3,ze6-wing6-sam1,haam3,zo2,ceot1-lai4,#,zim6-zim2,#,haam3,ge3,tung4-hok6,jyut6-lai4-jyut6-do1,#,jat1-go3,cyun4-jim5,jat1-go3,gam2,#,can4-hoi2-kei4,gin3-dou2,hou2-do1,tung4-hok6,ge3,ngaan5,hyun1,dou1,hung4,zo2,#,keoi5,seoi1-jin4,gok3-dak1,lou5-lou5-si1,zan1-hai6,hou2,lou5,#,jau6,fei4,#,jau6,mou5,gei3-sing3,#,daan6,keoi5,dou1,m4-se2-dak1,lou5-lou5-si1,zau2,aa3,#,keoi5,dou1,hoi1-ci2,lau4-ngaan5-leoi6,#,sou2,m4,cing1,jau5,gei2-do1,dik6,leoi6-seoi2,laa3,#,haau6-zoeng2,soeng2,gong2,di1,on1-fu2,ge3,syut3-waa6,#,bat1-gwo3,#,daai6-gaa1,dou1,teng1-m4-jap6-ji5,#,tong4,jing4-jin4,dou1-hai6,jiu3,soeng5,#,jyu1-si6,#,daai6-gaa1,dou1,zing6-zing2,gam2,haam3,zyu6,faan1,soeng5,fo3-sat1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan Hoi Kei,beside,(linker),Tse Wing Sum,cry,-en,out,#,gradually,#,cry,(linker),schoolmate,more and more,#,one (measure),infect,one (measure),in that way,#,Chan Hoi Kei,saw,many,schoolmate,’s,eye,circle,"all, also",red,-en,#,she,although,feel,Mr. Lo,really,very,old,#,also,fat,#,also,don't have,memory,#,but,she,"all, also",unwilling to part with,Mr. Lo,leave,(particle),#,she,"all, also",begin,to shed tears,#,count,not,clear,have,how many,drop of,tear,(particle),#,principal,want to,say,some,comfort,(linker),word,#,however,#,everyone,"all, also",would not listen,#,class,still,also is,have to,attend,#,so,#,everyone,"all, also",quiet,-ly,cry,-ing,go back,up,classroom,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
最後,嗰,兩,節,由,魯老師,教,嘅,中文,堂,，,大家,都,爭住,問,魯老師,問題,。,你,要,返去,邊度,呀,？,邊個,教,我哋,中文,呀,？,你,到底,有,幾,老,喇,？,你,可唔可以,俾,你,嘅,電郵,聯絡,我哋,呀,？,魯老師,都,笑,住,一一,回答,。,然後,魯老師,拎,咗,疊,信,出嚟,，,將,信,一,封,一,封,噉,派,俾,每,一,位,同學,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zeoi3-hau6,go2,loeng5,zit3,jau4,lou5-lou5-si1,gaau3,ge3,zung1-man2,tong4,#,daai6-gaa1,dou1,zaang1-zyu6,man6,lou5-lou5-si1,man6-tai4,#,nei5,jiu3,faan1-heoi3,bin1-dou6,aa3,#,bin1-go3,gaau3,ngo5-dei6,zung1-man2,aa3,#,nei5,dou3-dai2,jau5,gei2,lou5,laa3,#,nei5,ho2-m4-ho2-ji5,bei2,nei5,ge3,din6-jau4,lyun4-lok3,ngo5-dei6,aa3,#,lou5-lou5-si1,dou1,siu3,zyu6,jat1-jat1,wui4-daap3,#,jin4-hau6,lou5-lou5-si1,ling1,zo2,daap6,seon3,ceot1-lai4,#,zoeng1,seon3,jat1,fung1,jat1,fung1,gam2,paai3,bei2,mui5,jat1,wai2,tung4-hok6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the end,that,two,session,by,Mr. Lo,teach,(linker),Chinese ,class,#,everyone,"all, also",vying to,ask,Mr. Lo,question,#,you,have to,go back,where,(particle),#,who,teach,we,Chinese,(particle),#,you,to the end,have,how,old,(particle),#,you,can or cannot,give,you,’s,e-mail,contact,we,(particle),#,Mr. Lo,"all, also",smile,-ing,one by one,answer,#,then,Mr. Lo,take,-en,pile of,letter,out,#,take,letter,one,(measure),one,(measure),in this way,send,to,every,one,(measure),schoolmate,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
信,裏面,有,簡短,幾,句,對,同學,嘅,叮囑,，,大部份,都係,關於,學習,方面,嘅,。,每個人,都,唔,一樣,。,魯老師,話,，,呢啲,係,佢,對,同學,喺,呢,三,個月,裏面,嘅,觀察,，,係,佢,批改,學生,功課,、,默書,、,測驗,時,得到,嘅,結果,，,雖然,好,短,，,但,已經,用,咗,佢,好多,晚,嘅,時間,同埋,工夫,。,陳凱琪,翻,開,佢,嗰,封,信,，,信,裏面,寫,住,︰,「,凱琪,，,如果,作文,能,多,用,上,形容詞,，,會,令,文章,更,豐富,。,還有,，,請,留心,寫字,的,筆劃,。,對,了,，,名字,其實,真的,很,重要,嗎,？,我,不一定,記得,你,的,名字,，,但,我,會,記得,那,一,位,上課,時,勇於,回答,問題,的,女孩子,。,就算,沒有,了,名字,，,你,仍,是,很,獨特,的,。,」,,,,,,,,,,,,,,,,,,
seon3,leoi5-min6,jau5,gaan2-dyun2,gei2,geoi3,deoi3,tung4-hok6,ge3,ding1-zuk1,#,daai6-bou6-fan6,dou1-hai6,gwaan1-jyu1,hok6-zaap6,fong1-min6,ge3,#,mui5-go3-jan4,dou1,m4,jat1-joeng6,#,lou5-lou5-si1,waa6,#,ni1-di1,hai6,keoi5,deoi3,tung4-hok6,hai2,ni1,saam1,go3-jyut6,leoi5-min6,ge3,gun1-caat3,#,hai6,keoi5,pai1-goi2,hok6-saang1,gung1-fo3,#,mak6-syu1,#,cak1-jim6,si4,dak1-dou3,ge3,git3-gwo2,#,seoi1-jin4,hou2,dyun2,#,daan6,ji5-ging1,jung6,zo2,keoi5,hou2-do1,maan5,ge3,si4-gaan3,tung4-maai4,gung1-fu1,#,can4-hoi2-kei4,faan1,hoi1,keoi5,go2,fung1,seon3,#,seon3,leoi5-min6,se2,zyu6,#,#,hoi2-kei4,#,jyu4-gwo2,zok3-man2,nang4,do1,jung6,soeng5,jing4-jung4-ci4,#,wui5,ling6,man4-zoeng1,gang3,fung1-fu3,#,waan4-jau5,#,cing2,lau4-sam1,se2-zi6,dik1,bat1-waak6,#,deoi3,liu5,#,ming4-zi6,kei4-sat6,zan1-dik1,han2,zung6-jiu3,maa1,#,ngo5,bat1-jat1-ding6,gei3-dak1,nei5,dik1,ming4-zi6,#,daan6,ngo5,wui5,gei3-dak1,naa5,jat1,wai2,soeng5-fo3,si4,jung5-jyu1,wui4-daap3,man6-tai4,dik1,neoi5-haai4-zi2,#,zau6-syun3,mut6-jau5,liu5,ming4-zi6,#,nei5,jing4,si6,han2,duk6-dak6,dik1,#,#,,,,,,,,,,,,,,,,,,
letter,inside,have,brief,several,sentence,to,schoolmate,(linker),exhortation,#,vast majority,also is,regarding,study,aspect,(linker),#,everyone,"all, also",not,the same,#,Mr. Lo,say,#,these,is,he,to,schoolmate,at,this,three,month(s),inside,(linker),observation,#,is,he,correct,pupil,homework,#,dictation,#,quiz,that time,gain,(linker),result,#,although,very,short,#,but,already,use,-en,he,many,night,(linker),time,and,effort,#,Chan Hoi Kei,turn over,open,she,that,(measure),letter,#,letter,inside,write,-ing,#,#,Hoi Kei,#,if,composition,able to,more,use,on,adjective,#,will,make,work of writing,even more,rich (in content),#,also,#,please,pay attention to,writing,(linker),stroke order,#,right,(particle),#,name,actually,really,very,important,(particle),#,I,not necessarily,remember,you,’s,name,#,but,I,will,remember,that,one,(measure),attend class,that time,be brave at,answering,question,(linker),girl,#,even if,don't have,already,name,#,you,still,is,very,unique,(particle),#,#,,,,,,,,,,,,,,,,,,
[6c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鐘聲,響,起,，,啲,同學,喊,住,噉,同,魯老師,講,「,再見,」,，,當然,都,有,同學,冇,喊,。,平時,轉,堂,時,嘈雜,嘅,課室,，,好,靜,，,淨係,聽到,紙張,摺疊,嘅,聲音,，,嘶,——,嘶,——,，,同學,將,魯老師,嘅,信,，,一,封,一,封,噉,放,返,入去,雪白,嘅,信封,裏面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-sing1,hoeng2,hei2,#,di1,tung4-hok6,haam3,zyu6,gam2,tung4,lou5-lou5-si1,gong2,#,zoi3-gin3,#,#,dong1-jin4,dou1,jau5,tung4-hok6,mou5,haam3,#,ping4-si4,zyun3,tong4,si4,cou4-zaap6,ge3,fo3-sat1,#,hou2,zing6,#,zing6-hai6,teng1-dou2,zi2-zoeng1,zip3-dip6,ge3,sing1-jam1,#,sai1,#,sai1,#,#,tung4-hok6,zoeng1,lou5-lou5-si1,ge3,seon3,#,jat1,fung1,jat1,fung1,gam2,fong3,faan1,jap6-heoi3,syut3-baak6,ge3,seon3-fung1,leoi5-min6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ringing of bell,sound,on,#,those,schoolmate,cry,-ing,-ly,to,Mr. Lo,say,#,goodbye,#,#,certainly,"all, also",have,schoolmate,don't,cry,#,usually,change,class,that time,noisy,(linker),classroom,#,very,quiet,#,only,heard,paper,folding,(linker),sound,#,(sound),#,(sound),#,#,schoolmate,take,Mr. Lo,’s,letter,#,one,(measure),one,(measure),in that way,put,back,into,snowy white,(linker),envelope,inside,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
